model	parname	begin	num	default	type	pim.type	link	formula	share	pair	mix	rows	secondary	bystratum	tostrata	sub.stratum	leave.unused	socc	subset	events			
CRDMSOHet	Psi	0	-1	0	Triang	all	mlogit	~stratum:tostratum					FALSE	TRUE	TRUE								
CRDMSOHet	Omega	0	0		Square	all	mlogit	~1					FALSE	TRUE		1							
CRDMSOHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE	TRUE									
CRDMSOHet	p	0		0	Square	all	logit	~1			TRUE	0	TRUE	TRUE									
CRDMSOFHet	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
CRDMSOFHet	Psi	0	-1	0	Triang	all	mlogit	~stratum:tostratum					FALSE	TRUE	TRUE								
CRDMSOFHet	Omega	0	0		Square	all	mlogit	~1					FALSE	TRUE		1							
CRDMSOFHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE	TRUE									
CRDMSOFHet	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0	TRUE	TRUE									
CRDMSOFHet	c	1	-1	0	Square	all	logit			p	TRUE	0	TRUE	TRUE									
ORDPdMS	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
ORDPdMS	Psi	0	-1	0	Triang	all	mlogit	~stratum:tostratum					FALSE	TRUE	TRUE								
ORDPdMS	Gamma	0	-1	1	Square	all	logit	~1					FALSE	TRUE	TRUE	-1							
ORDPdMS	pent	0	-1	0	Square	all	mlogit	~1					TRUE	TRUE									
ORDPdMS	Phi	0	-1	1	Triang	all	logit	~1					TRUE	TRUE									
ORDPdMS	p	0	0	0	Square	all	logit	~1					TRUE	TRUE									
ORDMSState	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
ORDMSState	Psi	0	-1	0	Triang	all	mlogit	~stratum:tostratum					FALSE	TRUE	TRUE								
ORDMSState	Omega	0	0		Square	all	mlogit	~1					FALSE	TRUE		1							
ORDMSState	pent	1	-1	0	Square	all	mlogit	~1					TRUE	TRUE									
ORDMSState	Phi	0	-1	1	Triang	all	logit	~1					TRUE	TRUE									
ORDMSState	p	0	0	0	Square	all	logit	~1					TRUE	TRUE									
2SpecOccup	PsiAB	0	1		Square	all	logit	~1															
2SpecOccup	PsiA	0	1		Square	all	logit	~1	FALSE	PsiB													
2SpecOccup	PsiB	0	1		Square	all	logit			PsiA													
2SpecOccup	pA	0	0	0	Square	all	logit	~1	FALSE	pB													
2SpecOccup	pB	0	0	0	Square	all	logit			pA													
2SpecOccup	rAB	0	0	0	Square	all	logit	~1															
2SpecOccup	rAb	0	0	0	Square	all	logit	~1	FALSE	raB													
2SpecOccup	raB	0	0	0	Square	all	logit			rAb													
2SpecConOccup	PsiA	0	1		Square	all	logit	~1															
2SpecConOccup	PsiBA	0	1		Square	all	logit	~1	FALSE	PsiBa													
2SpecConOccup	PsiBa	0	1		Square	all	logit			PsiBA													
2SpecConOccup	pA	0	0	0	Square	all	logit	~1	FALSE	pB													
2SpecConOccup	pB	0	0	0	Square	all	logit			pA													
2SpecConOccup	rA	0	0	0	Square	all	logit	~1															
2SpecConOccup	rBA	0	0	0	Square	all	logit	~1	FALSE	rBa													
